Date,Price
2017-01-03,5429.080078
2017-01-04,5477.0
2017-01-05,5487.939941
2017-01-06,5521.060059
2017-01-09,5531.819824
2017-01-10,5551.819824
2017-01-11,5563.649902
2017-01-12,5547.490234
2017-01-13,5574.120117
2017-01-17,5538.72998
2017-01-18,5555.649902
2017-01-19,5540.080078
2017-01-20,5555.330078
2017-01-23,5552.939941
2017-01-24,5600.959961
2017-01-25,5656.339844
2017-01-26,5655.180176
2017-01-27,5660.779785
2017-01-30,5613.709961
2017-01-31,5614.790039
2017-02-01,5642.649902
2017-02-02,5636.200195
2017-02-03,5666.77002
2017-02-06,5663.549805
2017-02-07,5674.220215
2017-02-08,5682.450195
2017-02-09,5715.180176
2017-02-10,5734.129883
2017-02-13,5763.959961
2017-02-14,5782.569824
2017-02-15,5819.439941
2017-02-16,5814.899902
2017-02-17,5838.580078
2017-02-21,5865.950195
2017-02-22,5860.629883
2017-02-23,5835.509766
2017-02-24,5845.310059
2017-02-27,5861.899902
2017-02-28,5825.439941
2017-03-01,5904.029785
2017-03-02,5861.220215
2017-03-03,5870.75
2017-03-06,5849.180176
2017-03-07,5833.930176
2017-03-08,5837.549805
2017-03-09,5838.810059
2017-03-10,5861.72998
2017-03-13,5875.779785
2017-03-14,5856.819824
2017-03-15,5900.049805
2017-03-16,5900.759766
2017-03-17,5901.0
2017-03-20,5901.529785
2017-03-21,5793.830078
2017-03-22,5821.640137
2017-03-23,5817.689941
2017-03-24,5828.740234
2017-03-27,5840.370117
2017-03-28,5875.140137
2017-03-29,5897.549805
2017-03-30,5914.339844
2017-03-31,5911.740234
2017-04-03,5894.680176
2017-04-04,5898.609863
2017-04-05,5864.47998
2017-04-06,5878.950195
2017-04-07,5877.810059
2017-04-10,5880.930176
2017-04-11,5866.77002
2017-04-12,5836.160156
2017-04-13,5805.149902
2017-04-17,5856.790039
2017-04-18,5849.470215
2017-04-19,5863.029785
2017-04-20,5916.779785
2017-04-21,5910.52002
2017-04-24,5983.819824
2017-04-25,6025.490234
2017-04-26,6025.22998
2017-04-27,6048.939941
2017-04-28,6047.609863
2017-05-01,6091.600098
2017-05-02,6095.370117
2017-05-03,6072.549805
2017-05-04,6075.339844
2017-05-05,6100.759766
2017-05-08,6102.660156
2017-05-09,6120.589844
2017-05-10,6129.140137
2017-05-11,6115.959961
2017-05-12,6121.22998
2017-05-15,6149.669922
2017-05-16,6169.870117
2017-05-17,6011.240234
2017-05-18,6055.129883
2017-05-19,6083.700195
2017-05-22,6133.620117
2017-05-23,6138.709961
2017-05-24,6163.02002
2017-05-25,6205.259766
2017-05-26,6210.189941
2017-05-30,6203.189941
2017-05-31,6198.52002
2017-06-01,6246.830078
2017-06-02,6305.799805
2017-06-05,6295.680176
2017-06-06,6275.060059
2017-06-07,6297.379883
2017-06-08,6321.759766
2017-06-09,6207.919922
2017-06-12,6175.459961
2017-06-13,6220.370117
2017-06-14,6194.890137
2017-06-15,6165.5
2017-06-16,6151.759766
2017-06-19,6239.009766
2017-06-20,6188.029785
2017-06-21,6233.950195
2017-06-22,6236.689941
2017-06-23,6265.25
2017-06-26,6247.149902
2017-06-27,6146.620117
2017-06-28,6234.410156
2017-06-29,6144.350098
2017-06-30,6140.419922
2017-07-03,6110.060059
2017-07-05,6150.859863
2017-07-06,6089.459961
2017-07-07,6153.080078
2017-07-10,6176.390137
2017-07-11,6193.299805
2017-07-12,6261.169922
2017-07-13,6274.439941
2017-07-14,6312.470215
2017-07-17,6314.430176
2017-07-18,6344.310059
2017-07-19,6385.040039
2017-07-20,6390.0
2017-07-21,6387.75
2017-07-24,6410.810059
2017-07-25,6412.169922
2017-07-26,6422.75
2017-07-27,6382.189941
2017-07-28,6374.680176
2017-07-31,6348.120117
2017-08-01,6362.939941
2017-08-02,6362.649902
2017-08-03,6340.339844
2017-08-04,6351.560059
2017-08-07,6383.77002
2017-08-08,6370.459961
2017-08-09,6352.330078
2017-08-10,6216.870117
2017-08-11,6256.560059
2017-08-14,6340.22998
2017-08-15,6333.009766
2017-08-16,6345.109863
2017-08-17,6221.910156
2017-08-18,6216.529785
2017-08-21,6213.129883
2017-08-22,6297.47998
2017-08-23,6278.410156
2017-08-24,6271.330078
2017-08-25,6265.640137
2017-08-28,6283.02002
2017-08-29,6301.890137
2017-08-30,6368.310059
2017-08-31,6428.660156
2017-09-01,6435.330078
